industry,occupation,wage_mean
1,1,12.38325
1,2,11.15941
1,3,5.350122166666666
1,4,4.598662
1,6,6.3067755000000005
1,9,8.05153
1,10,2.9303844000000003
2,1,9.677936
2,3,17.240144666666666
3,1,11.6103
3,2,9.576543599999999
3,3,7.1875186875
3,4,5.032206
3,6,5.0921275
3,8,8.05153
3,11,7.207254666666667
4,1,12.723742916666666
4,2,11.812562243243244
4,3,8.06834236986301
4,4,9.970492615384615
4,5,8.266538482758621
4,6,5.546325772972972
4,8,3.344482
4,11,4.5789426
5,1,19.969004999999996
5,2,15.136872222222223
5,3,10.717404183673466
5,4,8.4621565
5,5,7.819641800000001
5,6,8.809197833333334
5,8,16.414380833333336
5,11,7.9951665
5,,12.43156
6,1,11.034839000000002
6,2,8.157214476923073
6,3,5.630293486725662
6,4,7.250947460000001
6,5,4.447045
6,6,4.337888826086956
6,8,4.313594051724139
6,10,3.5194475
6,11,5.728199
6,13,6.40886
6,,7.946856
7,1,15.564744249999999
7,2,13.409943785714285
7,3,7.016220157894736
7,4,11.226988965517243
7,8,5.57273525
8,1,14.042227307692308
8,2,9.432191666666666
8,3,7.028002794871796
8,4,4.30447175
8,5,3.177257
8,6,2.898549
8,8,3.8282305624999995
8,11,5.0322065
8,13,10.21739
9,1,5.3875025
9,2,8.1671594
9,3,4.743566714285714
9,4,3.001791
9,5,4.830918
9,6,3.992637916666667
9,7,3.2004937499999992
9,8,4.824834787878788
9,,4.307567
10,1,11.574075
10,2,9.883251000000001
10,3,7.333704000000001
10,4,4.180602
10,6,7.165856
10,8,4.4153286666666665
10,11,4.227053
11,1,9.930275528846156
11,2,11.187489125
11,3,6.461261079812207
11,5,6.8856674
11,6,4.5593938000000005
11,8,4.875253774193546
11,13,8.817154714285717
12,1,10.903406111111112
12,2,10.324749
12,3,8.255025949999997
12,5,6.686794
12,6,40.19808
12,8,3.2829102
12,11,9.565216
12,12,6.388888
12,13,11.6103
12,,4.178743
,1,6.086955
,2,6.191625
,3,6.843801
,6,7.7576475
,8,1.680601
,10,3.031401
,13,13.01932
,,3.295429
